No;Merek (Company);Nama Produk (Product Name);Tipe Laptop (TypeName);Ukuran Layar (Inches);Merek CPU (CPU_Company);Tipe CPU (CPU_Type);Freq. CPU (GHz);RAM (GB);Storage (Memory);Merek GPU (GPU_Company);Tipe GPU (GPU_Type);OS (OpSys);Berat (kg);Harga (Rp)
1;Asus;ASUS Vivobook 14 A1404VA-IPS552;Notebook;14.0;Intel;Core i5-1335U;1.3;8;512GB SSD;Intel;Intel UHD Graphics;Windows 11 Home;1.4;7499000
2;Asus;ASUS Vivobook 14 A1404VA-VIPS3854M;Notebook;14.0;Intel;Core i3-1315U;1.2;8;256GB SSD;Intel;Intel UHD Graphics;Windows 11 Home;1.4;6299000
3;Asus;ASUS Vivobook 14 A1404VA;Notebook;14.0;Intel;Core i5-1334U;1.3;16;512GB SSD;Intel;Intel Iris Xe Graphics;Windows 11 Home;1.4;8199000
4;Asus;ASUS Vivobook 14 A1404VA;Notebook;14.0;Intel;Core i7-1355U;1.7;16;512GB SSD;Intel;Intel Iris Xe Graphics;Windows 11 Home;1.4;9299000
5;Lenovo;Lenovo IdeaPad Slim 3 14AMN8 6RID;Notebook;14.0;AMD;Ryzen 3 7320U;2.4;8;512GB SSD;AMD;Radeon 610M;Windows 11 Home;1.37;8919000
6;Lenovo;Lenovo IdeaPad Slim 3 14AMN8;Notebook;14.0;AMD;Ryzen 5 7520U;2.8;8;512GB SSD;AMD;Radeon 610M;Windows 11 Home;1.37;7999000
7;Acer;Acer Aspire Lite AL14-31P-C6DD;Notebook;14.0;Intel;Intel N100;0.8;8;512GB SSD;Intel;Intel UHD Graphics;Windows 11 Home;1.35;7299000
8;Acer;Acer Aspire Lite AL14-51M-31Y7;Notebook;14.0;Intel;Core i3-1215U;1.2;8;256GB SSD;Intel;Intel UHD Graphics;Windows 11 Home;1.4;6399000
9;Acer;Acer Swift Go 14 SFG14-73-5135;Ultrabook;14.0;Intel;Core Ultra 5 125H;1.2;16;512GB SSD;Intel;Intel Arc Graphics;Windows 11 Home;1.32;12000000
10;Asus;ASUS ROG Zephyrus G14 GA403GM;Gaming;14.0;AMD;Ryzen AI 9 465;2.0;32;1TB SSD;Nvidia;GeForce RTX 5060;Windows 11 Home;1.5;41999000
11;Asus;ASUS ROG Zephyrus G14 GA403UH;Gaming;14.0;AMD;Ryzen 9 270;4.0;32;1TB SSD;Nvidia;GeForce RTX 5050;Windows 11 Home;1.5;42999000
12;Asus;ASUS ROG Zephyrus G14 GA403UU-R745OL6G-OM;Gaming;14.0;AMD;Ryzen 7 8845HS;3.8;16;1TB SSD;Nvidia;GeForce RTX 4050;Windows 11 Home;1.5;31999000
13;Apple;"Apple MacBook Air 13.6"" M3";Ultrabook;13.6;Apple;M3;4.05;16;512GB SSD;Apple;M3 GPU 10-Core;macOS;1.24;23999000
